Node ID,Northing,Easting,WASP
52550,21487.835,15371.103,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
41412,21509.176,15364.132,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
61281,21885.467,15436.010,
6626,21858.106,15378.014,
25094,21831.461,15320.235,
64352,21803.717,15259.894,
53796,21778.422,15206.650,
63423,21871.960,15406.248,
22293,21845.083,15348.560,
25026,21817.819,15290.181,
29389,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
25391,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
52064,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
26574,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
54000,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
18551,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
12501,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
6626,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
63423,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F98
50103,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F99
19093,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F100
52322,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F101
28308,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F102
22293,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F103
11341,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F104
26732,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F105
61281,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F106
25026,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F107
45663,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F108
11357,,,14.8.23.R1-1.2.51-1.0.5 SWAN 37894-C8685F109
